slice_group,slice_value,scenario,threshold,n,accuracy,precision,recall,f1,pr_auc,tn,fp,fn,tp
slice_time_window,final_periodo,baseline,0.5,29,0.4827586206896552,0.8,0.38095238095238093,0.5161290322580645,0.8019474445727706,6,2,13,8
slice_time_window,final_periodo,mitigated,0.43,29,0.6551724137931034,0.8666666666666667,0.6190476190476191,0.7222222222222222,0.8019474445727706,6,2,8,13
slice_time_window,inicio_periodo,baseline,0.5,30,0.9333333333333333,0.0,0.0,0.0,,28,2,0,0
slice_time_window,inicio_periodo,mitigated,0.43,30,0.8666666666666667,0.0,0.0,0.0,,26,4,0,0
slice_news_volume,volumen_medio,baseline,0.5,29,0.7586206896551724,0.6,0.375,0.46153846153846156,0.5235645933014355,19,2,5,3
slice_news_volume,volumen_medio,mitigated,0.43,29,0.7241379310344828,0.5,0.5,0.5,0.5235645933014355,17,4,4,4
slice_confidence,confianza_baja,baseline,0.5,30,0.6666666666666666,0.8181818181818182,0.5294117647058824,0.6428571428571429,0.7499782495418772,11,2,8,9
slice_confidence,confianza_baja,mitigated,0.43,30,0.7666666666666667,0.7272727272727273,0.9411764705882353,0.8205128205128205,0.7499782495418772,7,6,1,16
slice_strength,intensidad_baja,baseline,0.5,30,0.7,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.8315626817977503,11,2,7,10
slice_strength,intensidad_baja,mitigated,0.43,30,0.8,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8315626817977503,10,3,3,14
