model,accuracy,f1_weighted,f1_binary,precision_binary,recall_binary,n_test,elapsed_seconds,pr_auc,fold,train_start,train_end,test_start,test_end,features,n_features
Baseline_lag1,0.6666666666666666,0.5333333333333333,0.8,0.6666666666666666,1.0,12,0.006198883056640625,0.7390241702741703,1,2025-12-12,2026-01-26,2026-01-29,2026-03-05,lag_sent_1,1
Baseline_lag1,0.8333333333333334,0.7575757575757575,0.9090909090909091,0.8333333333333334,1.0,12,0.0036163330078125,0.9105880230880231,2,2025-12-12,2026-03-05,2026-03-06,2026-04-02,lag_sent_1,1
Baseline_lag1,0.75,0.6428571428571428,0.8571428571428571,0.75,1.0,12,0.003946542739868164,0.9060405643738978,3,2025-12-12,2026-04-02,2026-04-06,2026-05-08,lag_sent_1,1
Var1_lag1_lag2,0.6666666666666666,0.5333333333333333,0.8,0.6666666666666666,1.0,12,0.005392313003540039,0.6627840909090909,1,2025-12-12,2026-01-26,2026-01-29,2026-03-05,"lag_sent_1, lag_sent_2",2
Var1_lag1_lag2,0.8333333333333334,0.7575757575757575,0.9090909090909091,0.8333333333333334,1.0,12,0.0035130977630615234,0.8693578643578643,2,2025-12-12,2026-03-05,2026-03-06,2026-04-02,"lag_sent_1, lag_sent_2",2
Var1_lag1_lag2,0.75,0.6428571428571428,0.8571428571428571,0.75,1.0,12,0.004784107208251953,0.8146825396825397,3,2025-12-12,2026-04-02,2026-04-06,2026-05-08,"lag_sent_1, lag_sent_2",2
Var2_lags_volume_shares,0.6666666666666666,0.5333333333333333,0.8,0.6666666666666666,1.0,12,0.00400853157043457,0.84375,1,2025-12-12,2026-01-26,2026-01-29,2026-03-05,"lag_sent_1, lag_sent_2, lag_n_news_1, lag_share_pos_1, lag_share_neg_1, lag_share_neu_1",6
Var2_lags_volume_shares,0.75,0.7142857142857143,0.8571428571428571,0.8181818181818182,0.9,12,0.005725860595703125,0.9086435786435786,2,2025-12-12,2026-03-05,2026-03-06,2026-04-02,"lag_sent_1, lag_sent_2, lag_n_news_1, lag_share_pos_1, lag_share_neg_1, lag_share_neu_1",6
Var2_lags_volume_shares,0.75,0.731578947368421,0.8421052631578947,0.8,0.8888888888888888,12,0.004449605941772461,0.8321348404681739,3,2025-12-12,2026-04-02,2026-04-06,2026-05-08,"lag_sent_1, lag_sent_2, lag_n_news_1, lag_share_pos_1, lag_share_neg_1, lag_share_neu_1",6
Var3_full_temporal,0.6666666666666666,0.5333333333333333,0.8,0.6666666666666666,1.0,12,0.004533529281616211,0.7679924242424242,1,2025-12-12,2026-01-26,2026-01-29,2026-03-05,"lag_sent_1, lag_sent_2, lag_sent_3, rolling_sent_3, volatility_sent_3, lag_n_news_1, lag_share_pos_1, lag_share_neg_1, lag_share_neu_1",9
Var3_full_temporal,0.8333333333333334,0.7575757575757575,0.9090909090909091,0.8333333333333334,1.0,12,0.004250049591064453,0.8979292929292929,2,2025-12-12,2026-03-05,2026-03-06,2026-04-02,"lag_sent_1, lag_sent_2, lag_sent_3, rolling_sent_3, volatility_sent_3, lag_n_news_1, lag_share_pos_1, lag_share_neg_1, lag_share_neu_1",9
Var3_full_temporal,0.75,0.731578947368421,0.8421052631578947,0.8,0.8888888888888888,12,0.003561258316040039,0.8321348404681739,3,2025-12-12,2026-04-02,2026-04-06,2026-05-08,"lag_sent_1, lag_sent_2, lag_sent_3, rolling_sent_3, volatility_sent_3, lag_n_news_1, lag_share_pos_1, lag_share_neg_1, lag_share_neu_1",9
