experiment,fold,accuracy,f1_binary,f1_weighted,precision,recall,pr_auc,elapsed_seconds,n_train,n_test,train_classes,test_classes,train_start,train_end,test_start,test_end,status
Baseline_lag1,1,,,,,,,,18,14,1,1,2025-07-09,2025-08-21,2025-08-28,2025-11-04,skipped_one_class_train
Baseline_lag1,2,,,,,,,,32,14,1,2,2025-07-09,2025-11-04,2025-11-21,2026-01-07,skipped_one_class_train
Baseline_lag1,3,0.5,0.5333333333333333,0.5128205128205128,0.8,0.4,0.8591777666777667,0.0030012130737304688,46,14,2,2,2025-07-09,2026-01-07,2026-01-08,2026-02-25,ok
Baseline_lag1,4,0.35714285714285715,0.47058823529411764,0.40870893812070286,0.6666666666666666,0.36363636363636365,0.733061383061383,0.005283832550048828,60,14,2,2,2025-07-09,2026-02-25,2026-03-05,2026-04-02,ok
Baseline_lag1,5,0.5714285714285714,0.625,0.5803571428571429,0.7142857142857143,0.5555555555555556,0.8715488215488216,0.003075838088989258,74,14,2,2,2025-07-09,2026-04-02,2026-04-06,2026-05-08,ok
Var1_lag1_lag2,1,,,,,,,,18,14,1,1,2025-07-09,2025-08-21,2025-08-28,2025-11-04,skipped_one_class_train
Var1_lag1_lag2,2,,,,,,,,32,14,1,2,2025-07-09,2025-11-04,2025-11-21,2026-01-07,skipped_one_class_train
Var1_lag1_lag2,3,0.5714285714285714,0.625,0.5892857142857143,0.8333333333333334,0.5,0.8230341880341879,0.004214763641357422,46,14,2,2,2025-07-09,2026-01-07,2026-01-08,2026-02-25,ok
Var1_lag1_lag2,4,0.35714285714285715,0.47058823529411764,0.40870893812070286,0.6666666666666666,0.36363636363636365,0.7118033481669843,0.0030035972595214844,60,14,2,2,2025-07-09,2026-02-25,2026-03-05,2026-04-02,ok
Var1_lag1_lag2,5,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.8,0.4444444444444444,0.8675925925925927,0.002994060516357422,74,14,2,2,2025-07-09,2026-04-02,2026-04-06,2026-05-08,ok
Var2_lags_volume_shares,1,,,,,,,,18,14,1,1,2025-07-09,2025-08-21,2025-08-28,2025-11-04,skipped_one_class_train
Var2_lags_volume_shares,2,,,,,,,,32,14,1,2,2025-07-09,2025-11-04,2025-11-21,2026-01-07,skipped_one_class_train
Var2_lags_volume_shares,3,0.42857142857142855,0.5555555555555556,0.45396825396825397,0.625,0.5,0.8009623709623709,0.0035080909729003906,46,14,2,2,2025-07-09,2026-01-07,2026-01-08,2026-02-25,ok
Var2_lags_volume_shares,4,0.35714285714285715,0.47058823529411764,0.40870893812070286,0.6666666666666666,0.36363636363636365,0.7951366815003178,0.0035238265991210938,60,14,2,2,2025-07-09,2026-02-25,2026-03-05,2026-04-02,ok
Var2_lags_volume_shares,5,0.6428571428571429,0.7058823529411765,0.6485867074102368,0.75,0.6666666666666666,0.7315153981820648,0.00455164909362793,74,14,2,2,2025-07-09,2026-04-02,2026-04-06,2026-05-08,ok
Var3_full_temporal,1,,,,,,,,18,14,1,1,2025-07-09,2025-08-21,2025-08-28,2025-11-04,skipped_one_class_train
Var3_full_temporal,2,,,,,,,,32,14,1,2,2025-07-09,2025-11-04,2025-11-21,2026-01-07,skipped_one_class_train
Var3_full_temporal,3,0.42857142857142855,0.5555555555555556,0.45396825396825397,0.625,0.5,0.8209623709623709,0.004005908966064453,46,14,2,2,2025-07-09,2026-01-07,2026-01-08,2026-02-25,ok
Var3_full_temporal,4,0.42857142857142855,0.5555555555555556,0.47936507936507944,0.7142857142857143,0.45454545454545453,0.7754397118033481,0.004565000534057617,60,14,2,2,2025-07-09,2026-02-25,2026-03-05,2026-04-02,ok
Var3_full_temporal,5,0.6428571428571429,0.7058823529411765,0.6485867074102368,0.75,0.6666666666666666,0.6963302129968798,0.0035240650177001953,74,14,2,2,2025-07-09,2026-04-02,2026-04-06,2026-05-08,ok
